Active,Key,Level,SubKey,Shopkeeper,Occupation,BaseMultiplier,BaseValue,NumIngredients,RecipeValueMultiplier,Value,CraftingRecipe/Good/...,CraftingRecipe/Value/Total,UsedInOtherRecipes,AllowJunk,MinorUpgradeDesc/SkillPoints,MinorUpgradeDesc/Entry/...,MajorUpgradeDesc/SkillPoints,MajorUpgradeDesc/Entry/...
TRUE,good_bricks,5,L5,Sir Brickolot,purveyor of Bricks,,0,2,1.3,47,good_stone + good_stone + ,36,0,FALSE,1,2x good_bricks,1,2x good_bricks + 1x good_spirits + 1x wo_rotate_station + 
TRUE,good_bricks,15,L15,Sir Brickolot,purveyor of Bricks,,0,3,1.4,76,good_stone + good_stone + good_stone + ,54,0,FALSE,1,3x good_bricks,1,3x good_bricks + 2x good_spirits + 1x wo_rotate_station + 
TRUE,good_bricks,30,L30,Master Brickolot,lord of the Bricks,,0,4,1.5,108,good_stone + good_stone + good_stone + good_stone + ,72,0,FALSE,1,3x good_bricks,1,4x good_bricks + 3x good_spirits + 1x wo_rotate_station + 
TRUE,good_spirits,0,L0,Dr. Spiritini,brewer of Spirits,,0,2,1.5,23,good_water + good_food + ,15,0,FALSE,1,1x good_spirits,,
TRUE,good_spirits,5,L5,Dr. Spiritini,brewer of Spirits,,0,2,1.6,24,good_water + good_food + ,15,0,FALSE,1,2x good_spirits,1,2x good_spirits + 1x good_lumber + 1x wo_ant_node_double + 
TRUE,good_spirits,15,L15,Dr. Spiritini,brewer of Spirits,,0,3,1.7,34,good_water + good_food + good_water + ,20,0,FALSE,1,3x good_spirits,1,3x good_spirits + 2x good_lumber + 1x wo_ant_node_double + 
TRUE,good_spirits,30,L30,Master Spiritini,god of Spirits,,0,4,1.8,54,good_water + good_food + good_water + good_food + ,30,0,FALSE,1,3x good_spirits,1,4x good_spirits + 3x good_lumber + 1x wo_ant_node_double + 
TRUE,good_lumber,0,L0,Mr. Lumberdo,crafter of Lumber,,0,2,1.5,30,good_water + good_wood + ,20,0,FALSE,1,1x good_lumber,,
TRUE,good_lumber,5,L5,Mr. Lumberdo,crafter of Lumber,,0,2,1.6,32,good_water + good_wood + ,20,0,FALSE,1,2x good_lumber,1,2x good_lumber + 1x good_gems + 1x wo_ant_node_heavylifter + 
TRUE,good_lumber,15,L15,Mr. Lumberdo,crafter of Lumber,,0,3,1.7,60,good_water + good_wood + good_wood + ,35,0,FALSE,1,3x good_lumber,1,3x good_lumber + 2x good_gems + 1x wo_ant_node_heavylifter + 
TRUE,good_lumber,30,L30,Master Lumberdo,Master of Lumber,,0,4,1.8,90,good_water + good_wood + good_wood + good_wood + ,50,0,FALSE,1,3x good_lumber,1,4x good_lumber + 3x good_gems + 1x wo_ant_node_heavylifter + 
TRUE,good_perfume,0,L0,Monsieur Perfumero,dabber of Perfume,,0,2,1.5,38,good_food + good_wood + ,25,0,FALSE,1,1x good_perfume,,
TRUE,good_perfume,5,L5,Monsieur Perfumero,dabber of Perfume,,0,3,1.6,56,good_food + good_wood + good_food + ,35,0,FALSE,1,2x good_gems,1,2x good_gems + 1x good_gems + 1x wo_car_node_slow + 
TRUE,good_perfume,15,L15,Monsieur Perfumero,dabber of Perfume,,0,4,1.7,85,good_food + good_wood + good_food + good_wood + ,50,0,FALSE,1,3x good_gems,1,3x good_gems + 2x good_gems + 1x wo_car_node_slow + 
TRUE,good_perfume,30,L30,Master Perfumero,priest of Perfume,,0,5,1.8,108,good_food + good_wood + good_food + good_wood + good_food + ,60,0,FALSE,1,3x good_gems,1,4x good_gems + 3x good_gems + 1x wo_car_node_slow + 
TRUE,good_gems,0,L0,Ms. Gemia,polisher of Gems,,0,2,1.5,35,good_stone + good_water + ,23,0,FALSE,1,1x good_gems,,
TRUE,good_gems,5,L5,Ms. Gemia,polisher of Gems,,0,3,1.7,48,good_stone + good_water + good_water + ,28,0,FALSE,1,2x good_gems,1,2x good_gems + 1x good_stew + 1x wo_car_node_fast + 
TRUE,good_gems,15,L15,Ms. Gemia,polisher of Gems,,0,4,1.9,63,good_stone + good_water + good_water + good_water + ,33,0,FALSE,1,3x good_gems,1,3x good_gems + 2x good_stew + 1x wo_car_node_fast + 
TRUE,good_gems,30,L30,Mistress Gemia,priestess of Gems,,0,4,2.1,70,good_stone + good_water + good_water + good_water + ,33,0,FALSE,1,3x good_gems,1,4x good_gems + 3x good_stew + 1x wo_car_node_fast + 
TRUE,good_stew,0,L0,Chef Steward,stewer of Stew,,0,2,1.5,60,good_food + good_lumber + ,40,0,FALSE,1,1x good_stew,,
TRUE,good_stew,5,L5,Chef Steward,stewer of Stew,,0,3,1.6,48,good_food + good_water + good_wood + ,30,0,FALSE,1,2x good_stew,1,2x good_stew + 1x good_ore + 1x wo_car_node_hop + 
TRUE,good_stew,15,L15,Chef Steward,stewer of Stew,,0,3,1.7,51,good_food + good_water + good_wood + ,30,0,FALSE,1,3x good_stew,1,3x good_stew + 2x good_ore + 1x wo_car_node_hop + 
TRUE,good_stew,30,L30,Master Steward,Master of Stew,,0,3,1.8,54,good_food + good_water + good_wood + ,30,0,FALSE,1,3x good_stew,1,4x good_stew + 3x good_ore + 1x wo_car_node_hop + 
TRUE,good_ore,0,L0,Foreman Oreore,smasher of Ore,,0,2,1.5,50,good_wood + good_stone + ,33,0,FALSE,1,1x good_ore,,
TRUE,good_ore,5,L5,Foreman Oreore,smasher of Ore,,0,3,1.7,82,good_wood + good_stone + good_wood + ,48,0,FALSE,1,2x good_ore,1,2x good_ore + 1x good_spices + 1x wo_cat_and_catcher + 
TRUE,good_ore,15,L15,Foreman Oreore,smasher of Ore,,0,3,1.9,92,good_wood + good_stone + good_wood + ,48,0,FALSE,1,3x good_ore,1,3x good_ore + 2x good_spices + 1x wo_cat_and_catcher + 
TRUE,good_ore,30,L30,Master Oreore,Master of Ore,,0,4,2.1,139,good_wood + good_stone + good_wood + good_stone + ,66,0,FALSE,1,3x good_ore,1,4x good_ore + 3x good_spices + 1x wo_cat_and_catcher + 
TRUE,good_spices,0,L0,Mrs. Spicey,grinder of Spices,,0,2,1.5,42,good_stone + good_food + ,28,0,FALSE,1,1x good_spices,,
TRUE,good_spices,5,L5,Mrs. Spicey,grinder of Spices,,0,3,1.7,79,good_stone + good_food + good_stone + ,46,0,FALSE,1,2x good_spices,1,2x good_spices + 1x good_glass + 1x wo_tower_stout + 
TRUE,good_spices,15,L15,Mrs. Spicey,grinder of Spices,,0,4,1.9,107,good_stone + good_food + good_stone + good_food + ,56,0,FALSE,1,3x good_spices,1,3x good_spices + 2x good_glass + 1x wo_tower_stout + 
TRUE,good_spices,30,L30,Mistress Spicey,lady of Spices,,0,5,2.1,156,good_stone + good_food + good_stone + good_food + good_stone + ,74,0,FALSE,1,3x good_spices,1,4x good_spices + 3x good_glass + 1x wo_tower_stout + 
TRUE,good_glass,0,L0,Madam Glassola,crafter of Glass,,0,3,1.7,102,good_water + good_ore + good_water + ,60,0,FALSE,1,1x good_glass,,
TRUE,good_glass,5,L5,Madam Glassola,crafter of Glass,,0,3,1.7,65,good_water + good_wood + good_stone + ,38,0,FALSE,1,2x good_glass,1,2x good_glass + 1x good_cookedfood + 1x wo_transfer_station_90 + 
TRUE,good_glass,15,L15,Madam Glassola,crafter of Glass,,0,3,1.7,65,good_water + good_wood + good_stone + ,38,0,FALSE,1,3x good_glass,1,3x good_glass + 2x good_cookedfood + 1x wo_transfer_station_90 + 
TRUE,good_glass,30,L30,Mistress Glassola,lady of Glass,,0,2,1.7,40,good_water + good_stone + ,23,0,FALSE,1,3x good_glass,1,4x good_glass + 3x good_cookedfood + 1x wo_transfer_station_90 + 
TRUE,good_cookedfood,0,L0,Chef Cookedafooda,cooker of Cooked Food,,0,3,1.7,123,good_wood + good_spices + good_wood + ,72,0,FALSE,1,1x good_cookedfood,,
TRUE,good_cookedfood,5,L5,Chef Cookedafooda,cooker of Cooked Food,,0,3,1.7,74,good_wood + good_stone + good_food + ,43,0,FALSE,1,2x good_cookedfood,1,2x good_cookedfood + 1x good_flour + 1x wo_rotate_station + 
TRUE,good_cookedfood,15,L15,Chef Cookedafooda,cooker of Cooked Food,,0,3,1.7,74,good_wood + good_stone + good_food + ,43,0,FALSE,1,3x good_cookedfood,1,3x good_cookedfood + 2x good_flour + 1x wo_rotate_station + 
TRUE,good_cookedfood,30,L30,Chef Cookedafooda,cooker of Cooked Food,,0,2,1.7,48,good_stone + good_food + ,28,0,FALSE,1,3x good_cookedfood,1,4x good_cookedfood + 3x good_flour + 1x wo_rotate_station + 
TRUE,good_flour,0,L0,Mr. Flower,miller of Flour,,0,3,1.7,101,good_stone + good_spirits + good_stone + ,59,0,FALSE,1,1x good_flour,,
TRUE,good_flour,5,L5,Mr. Flower,miller of Flour,,0,3,1.7,57,good_stone + good_water + good_food + ,33,0,FALSE,1,2x good_flour,1,2x good_flour + 1x good_mana + 1x wo_ant_node_double + 
TRUE,good_flour,15,L15,Mr. Flower,miller of Flour,,0,3,1.7,57,good_stone + good_water + good_food + ,33,0,FALSE,1,3x good_flour,1,3x good_flour + 2x good_mana + 1x wo_ant_node_double + 
TRUE,good_flour,30,L30,Master Flower,guy covered with Flour,,0,2,1.7,48,good_stone + good_food + ,28,0,FALSE,1,3x good_flour,1,4x good_flour + 3x good_mana + 1x wo_ant_node_double + 
TRUE,good_mana,0,L0,Mana san,distiller of Mana,,0,4,1.5,72,good_food + good_wood + good_stone + good_water + ,48,0,TRUE,1,1x good_mana,,
TRUE,good_mana,5,L5,Mana san,distiller of Mana,,0,4,1.6,77,good_food + good_wood + good_stone + good_water + ,48,0,TRUE,1,2x good_mana,1,2x good_mana + 1x good_mulledwine + 1x wo_ant_node_heavylifter + 
TRUE,good_mana,15,L15,Mana san,distiller of Mana,,0,4,1.7,82,good_food + good_wood + good_stone + good_water + ,48,0,TRUE,1,3x good_mana,1,3x good_mana + 2x good_mulledwine + 1x wo_ant_node_heavylifter + 
TRUE,good_mana,30,L30,Mana sama,priest of Mana,,0,4,2,96,good_food + good_wood + good_stone + good_water + ,48,0,TRUE,1,3x good_mana,1,4x good_mana + 3x good_mulledwine + 1x wo_ant_node_heavylifter + 
TRUE,good_mulledwine,0,L0,Ms. Mulledewine,bottler of Mulled Wine,,0,2,1.5,98,good_spices + good_spirits + ,65,0,FALSE,1,1x good_mulledwine,,
TRUE,good_mulledwine,5,L5,Ms. Mulledewine,bottler of Mulled Wine,,0,3,1.7,150,good_spices + good_spirits + good_spirits + ,88,0,FALSE,1,2x good_mulledwine,1,2x good_mulledwine + 1x good_shrines + 1x wo_car_node_slow + 
TRUE,good_mulledwine,15,L15,Ms. Mulledewine,bottler of Mulled Wine,,0,3,1.9,204,good_spices + good_spirits + good_spices + ,107,0,FALSE,1,3x good_mulledwine,1,3x good_mulledwine + 2x good_shrines + 1x wo_car_node_slow + 
TRUE,good_mulledwine,30,L30,Mistress Mulledewine,priestess of Mulled Wine,,0,4,2.1,273,good_spices + good_spirits + good_spices + good_spirits + ,130,0,FALSE,1,3x good_mulledwine,1,4x good_mulledwine + 3x good_shrines + 1x wo_car_node_slow + 
TRUE,good_shrines,0,L0,Madam Shrinette,blesser of Shrines,,0,2,1.5,80,good_lumber + good_spirits + ,53,0,FALSE,1,1x good_shrines,,
TRUE,good_shrines,5,L5,Madam Shrinette,blesser of Shrines,,0,3,1.6,72,good_lumber + good_water + good_food + ,45,0,FALSE,1,2x good_shrines,1,2x good_shrines + 1x good_potionofdeath + 1x wo_car_node_fast + 
TRUE,good_shrines,15,L15,Madam Shrinette,blesser of Shrines,,0,3,1.7,74,good_spirits + good_water + good_wood + ,43,0,FALSE,1,3x good_shrines,1,3x good_shrines + 2x good_potionofdeath + 1x wo_car_node_fast + 
TRUE,good_shrines,30,L30,Lady Shrinette,priestess of Shrines,,0,4,1.8,63,good_water + good_wood + good_water + good_food + ,35,0,FALSE,1,3x good_shrines,1,4x good_shrines + 3x good_potionofdeath + 1x wo_car_node_fast + 
TRUE,good_potionofdeath,0,L0,Dr. Potionomort,inventor of the Potion of Death,,0,2,1.5,132,good_perfume + good_ore + ,88,0,FALSE,1,1x good_potionofdeath,,
TRUE,good_potionofdeath,5,L5,Dr. Potionomort,inventor of the Potion of Death,,0,3,1.7,215,good_perfume + good_ore + good_perfume + ,126,0,FALSE,1,2x good_potionofdeath,1,2x good_potionofdeath + 1x good_potionofjoy + 1x wo_car_node_hop + 
TRUE,good_potionofdeath,15,L15,Dr. Potionomort,inventor of the Potion of Death,,0,3,1.9,263,good_perfume + good_ore + good_ore + ,138,0,FALSE,1,3x good_potionofdeath,1,3x good_potionofdeath + 2x good_potionofjoy + 1x wo_car_node_hop + 
TRUE,good_potionofdeath,30,L30,Master Potionomort,Master of the Potion of Death,,0,4,2.1,370,good_perfume + good_ore + good_perfume + good_ore + ,176,0,FALSE,1,3x good_potionofdeath,1,4x good_potionofdeath + 3x good_potionofjoy + 1x wo_car_node_hop + 
TRUE,good_potionofjoy,0,L0,Dr. Potionojoy,inventor of the Potion of Joy,,0,2,1.5,92,good_perfume + good_spirits + ,61,0,FALSE,1,1x good_potionofjoy,,
TRUE,good_potionofjoy,5,L5,Dr. Potionojoy,inventor of the Potion of Joy,,0,3,1.7,143,good_perfume + good_spirits + good_spirits + ,84,0,FALSE,1,2x good_potionofjoy,1,2x good_potionofjoy + 1x good_potionoflife + 1x wo_cat_and_catcher + 
TRUE,good_potionofjoy,15,L15,Dr. Potionojoy,inventor of the Potion of Joy,,0,4,1.9,204,good_perfume + good_spirits + good_spirits + good_spirits + ,107,0,FALSE,1,3x good_potionofjoy,1,3x good_potionofjoy + 2x good_potionoflife + 1x wo_cat_and_catcher + 
TRUE,good_potionofjoy,30,L30,Mistress Potionojoy,Lady of the Potion of Joy,,0,5,2.1,305,good_perfume + good_spirits + good_spirits + good_spirits + good_perfume + ,145,0,FALSE,1,3x good_potionofjoy,1,4x good_potionofjoy + 3x good_potionoflife + 1x wo_cat_and_catcher + 
TRUE,good_potionoflife,0,L0,Sir Potionolife,inventor of the Potion of Life,,0,2,1.5,120,good_perfume + good_spices + ,80,0,FALSE,1,1x good_potionoflife,,
TRUE,good_potionoflife,5,L5,Sir Potionolife,inventor of the Potion of Life,,0,3,1.7,208,good_perfume + good_spices + good_spices + ,122,0,FALSE,1,2x good_potionoflife,1,2x good_potionoflife + 1x good_jewelry + 1x wo_tower_stout + 
TRUE,good_potionoflife,15,L15,Sir Potionolife,inventor of the Potion of Life,,0,4,1.9,312,good_perfume + good_spices + good_spices + good_spices + ,164,0,FALSE,1,3x good_potionoflife,1,3x good_potionoflife + 2x good_jewelry + 1x wo_tower_stout + 
TRUE,good_potionoflife,30,L30,Master Potionolife,wrinkle free fellow named Ponce,,0,5,2.1,425,good_perfume + good_spices + good_spices + good_spices + good_perfume + ,202,0,FALSE,1,3x good_potionoflife,1,4x good_potionoflife + 3x good_jewelry + 1x wo_tower_stout + 
TRUE,good_jewelry,0,L0,Ms.  Jewelrina,crafter of Jewelry,,0,2,1.5,128,good_gems + good_ore + ,85,0,FALSE,1,1x good_jewelry,,
TRUE,good_jewelry,5,L5,Ms.  Jewelrina,crafter of Jewelry,,0,3,1.7,204,good_gems + good_ore + good_gems + ,120,0,FALSE,1,2x good_jewelry,1,2x good_jewelry + 1x good_idols + 1x wo_transfer_station_90 + 
TRUE,good_jewelry,15,L15,Ms.  Jewelrina,crafter of Jewelry,,0,4,1.9,295,good_gems + good_ore + good_gems + good_gems + ,155,0,FALSE,1,3x good_jewelry,1,3x good_jewelry + 2x good_idols + 1x wo_transfer_station_90 + 
TRUE,good_jewelry,30,L30,Lady Jewelrina,mistress of Jewelry,,0,5,2.1,431,good_gems + good_ore + good_gems + good_gems + good_ore + ,205,0,FALSE,1,3x good_jewelry,1,4x good_jewelry + 3x good_idols + 1x wo_transfer_station_90 + 
TRUE,good_idols,0,L0,Mrs. Idoll,blesser of Idols,,0,2,1.5,108,good_spices + good_lumber + ,72,0,FALSE,1,1x good_idols,,
TRUE,good_idols,5,L5,Mrs. Idoll,blesser of Idols,,0,3,1.5,171,good_spices + good_lumber + good_spices + ,114,0,FALSE,1,2x good_idols,1,2x good_idols + 1x good_gunpowder + 1x wo_rotate_station + 
TRUE,good_idols,15,L15,Mrs. Idoll,blesser of Idols,,0,4,1.5,234,good_spices + good_lumber + good_spices + good_spices + ,156,0,FALSE,1,3x good_idols,1,3x good_idols + 2x good_gunpowder + 1x wo_rotate_station + 
TRUE,good_idols,30,L30,Mistress Idoll,priestess of Idols,,0,5,1.5,297,good_spices + good_lumber + good_spices + good_spices + good_spices + ,198,0,FALSE,1,3x good_idols,1,4x good_idols + 3x good_gunpowder + 1x wo_rotate_station + 
TRUE,good_gunpowder,0,L0,Sir Gunpow,crafter of Gun Powder,,0,2,1.5,267,good_jewelry + good_ore + ,178,0,FALSE,1,1x good_gunpowder,,
TRUE,good_gunpowder,5,L5,Sir Gunpow,crafter of Gun Powder,,0,3,1.8,384,good_jewelry + good_ore + good_gems + ,213,0,FALSE,1,2x good_gunpowder,1,2x good_gunpowder + 1x good_rings + 1x wo_ant_node_double + 
TRUE,good_gunpowder,15,L15,Sir Gunpow,crafter of Gun Powder,,0,4,2.1,660,good_jewelry + good_ore + good_flour + good_gems + ,314,0,FALSE,1,3x good_gunpowder,1,3x good_gunpowder + 2x good_rings + 1x wo_ant_node_double + 
TRUE,good_gunpowder,30,L30,Master Gunpow,Lord of Gun Powder,,0,5,2.4,807,good_jewelry + good_ore + good_flour + good_gems + good_bricks + ,336,0,FALSE,1,3x good_gunpowder,1,4x good_gunpowder + 3x good_rings + 1x wo_ant_node_double + 
TRUE,goodtype_crystal,,,Valuable crystals,harvestable that produces various crystals,4,40,0,0,40,,0,0,FALSE,,,,
TRUE,good_onyx,,,Onyx Vein,unique crystal resource,4,40,0,0,40,,0,0,FALSE,,,,
TRUE,good_jade,,,Jade Vein,unique crystal resource,4,40,0,0,40,,0,0,FALSE,,,,
TRUE,good_opal,,,Opal Crystal,unique crystal resource,4,40,0,0,40,,0,0,FALSE,,,,
TRUE,good_amber,,,Amber Crystal,unique crystal resource,4,40,0,0,40,,0,0,FALSE,,,,
TRUE,good_silver,,,Silver Vein,unique crystal resource,4,40,0,0,40,,0,0,FALSE,,,,
TRUE,good_diamond,,,Diamond Crystal,unique crystal resource,4.5,45,0,0,45,,0,0,FALSE,,,,
TRUE,good_sapphire,,,Sapphire Crystal,unique crystal resource,5,50,0,0,50,,0,0,FALSE,,,,
TRUE,good_ruby,,,Ruby Crystal,unique crystal resource,6,60,0,0,60,,0,0,FALSE,,,,
TRUE,good_amethyst,,,Amethyst Crystal,unique crystal resource,4,40,0,0,40,,0,0,FALSE,,,,
TRUE,good_rings,0,L0,Ms. Ringu,crafter of Rings,,0,2,2.5,200,goodtype_crystal + goodtype_crystal + ,80,0,FALSE,1,1x good_rings,,
TRUE,good_rings,5,L5,Ms. Ringu,crafter of Rings,,0,2,2.7,216,goodtype_crystal + goodtype_crystal + ,80,0,FALSE,1,2x good_rings,1,2x good_rings + 1x good_necklace + 1x wo_cat_and_catcher + 
TRUE,good_rings,15,L15,Ms. Ringu,crafter of Rings,,0,2,2.9,232,goodtype_crystal + goodtype_crystal + ,80,0,FALSE,1,3x good_rings,1,3x good_rings + 2x good_necklace + 1x wo_cat_and_catcher + 
TRUE,good_rings,30,L30,Mistress Ringu,lady of the Ring,,0,2,3.1,248,goodtype_crystal + goodtype_crystal + ,80,0,FALSE,1,3x good_rings,1,4x good_rings + 3x good_necklace + 1x wo_cat_and_catcher + 
TRUE,good_necklace,0,L0,Mr. Necklacer,crafter of Necklaces,,0,3,3.2,384,goodtype_crystal + goodtype_crystal + goodtype_crystal + ,120,0,FALSE,1,1x good_necklace,,
TRUE,good_necklace,5,L5,Mr. Necklacer,crafter of Necklaces,,0,3,3.4,408,goodtype_crystal + goodtype_crystal + goodtype_crystal + ,120,0,FALSE,1,2x good_necklace,1,2x good_necklace + 1x good_shields + 1x wo_tower_stout + 
TRUE,good_necklace,15,L15,Mr. Necklacer,crafter of Necklaces,,0,3,3.6,432,goodtype_crystal + goodtype_crystal + goodtype_crystal + ,120,0,FALSE,1,3x good_necklace,1,3x good_necklace + 2x good_shields + 1x wo_tower_stout + 
TRUE,good_necklace,30,L30,Master Necklacer,Lord of Necklaces,,0,3,3.8,456,goodtype_crystal + goodtype_crystal + goodtype_crystal + ,120,0,FALSE,1,3x good_necklace,1,4x good_necklace + 3x good_shields + 1x wo_tower_stout + 
TRUE,good_shields,0,L0,Sir Shieldoth,forger of Shields,,0,4,3.4,544,goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + ,160,0,FALSE,1,1x good_shields,,
TRUE,good_shields,5,L5,Sir Shieldoth,forger of Shields,,0,4,3.6,576,goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + ,160,0,FALSE,1,2x good_shields,1,2x good_shields + 1x good_hammers + 1x wo_transfer_station_90 + 
TRUE,good_shields,15,L15,Sir Shieldoth,forger of Shields,,0,4,3.8,608,goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + ,160,0,FALSE,1,3x good_shields,1,3x good_shields + 2x good_hammers + 1x wo_transfer_station_90 + 
TRUE,good_shields,30,L30,Master Shieldoth,priest of Shields,,0,4,4,640,goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + ,160,0,FALSE,1,3x good_shields,1,4x good_shields + 3x good_hammers + 1x wo_transfer_station_90 + 
TRUE,good_hammers,0,L0,DJ Hammerson,banger of Hammers,,0,5,3.6,720,goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + ,200,0,FALSE,1,1x good_hammers,,
TRUE,good_hammers,5,L5,DJ Hammerson,banger of Hammers,,0,5,3.8,760,goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + ,200,0,FALSE,1,2x good_hammers,1,2x good_hammers + 1x good_sceptre + 1x wo_rotate_station + 
TRUE,good_hammers,15,L15,DJ Hammerson,banger of Hammers,,0,5,4,800,goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + ,200,0,FALSE,1,3x good_hammers,1,3x good_hammers + 2x good_amulet + 1x wo_rotate_station + 
TRUE,good_hammers,30,L30,Master Hammerson,walloper of Hammers,,0,5,4.2,840,goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + ,200,0,FALSE,1,3x good_hammers,1,4x good_hammers + 3x good_crowns + 1x wo_rotate_station + 
FALSE,good_swords,,,Mrs. Maker,Making stuff,,0,6,3.6,864,goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + ,240,0,FALSE,,1x good_swords,,
FALSE,good_sceptre,,,Mrs. Maker,Making stuff,,0,7,2,560,goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + ,280,0,FALSE,,2x good_sceptre,1,2x good_sceptre + 1x good_largebarrel + 1x wo_ant_node_double + 
FALSE,good_amulet,,,Mrs. Maker,Making stuff,,0,8,2,640,goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + ,320,0,FALSE,,3x good_amulet,1,3x good_amulet + 2x good_largebarrel + 1x wo_ant_node_double + 
FALSE,good_crowns,,,Mrs. Maker,Making stuff,,0,9,2,720,goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + goodtype_crystal + ,360,0,FALSE,,3x good_crowns,1,4x good_crowns + 3x good_largebarrel + 1x wo_ant_node_double + 
TRUE,good_largebarrel,0,L0,Ms. Largebar,cooper of Large Barrels,,0,2,1.5,36,good_barrel + good_barrel + ,24,0,TRUE,1,1x good_largebarrel,,
TRUE,good_largebarrel,5,L5,Ms. Largebar,cooper of Large Barrels,,0,2,1.7,41,good_barrel + good_barrel + ,24,0,TRUE,1,2x good_largebarrel,1,2x good_largebarrel + 1x good_blackoak + 1x wo_ant_node_heavylifter + 
